<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,08/03/22,000000,1.0865400,1.0958300,1.0847000,1.0897300,2988565
EURUSD,D,09/03/22,000000,1.0897900,1.1095300,1.0895000,1.1073100,2245440
EURUSD,D,10/03/22,000000,1.1073500,1.1121200,1.0974000,1.1012000,2461838
EURUSD,D,11/03/22,000000,1.1013400,1.1043500,1.0900000,1.0909000,2153517
EURUSD,D,13/03/22,000000,1.0887000,1.0940000,1.0887000,1.0930800,86284
EURUSD,D,14/03/22,000000,1.0931400,1.0994000,1.0899000,1.0942600,2143304
EURUSD,D,15/03/22,000000,1.0942500,1.1019900,1.0924000,1.0966400,2132555
EURUSD,D,16/03/22,000000,1.0966400,1.1046800,1.0949000,1.1021400,2466254
EURUSD,D,17/03/22,000000,1.1021400,1.1137500,1.1018000,1.1098700,1690540
EURUSD,D,18/03/22,000000,1.1098700,1.1118600,1.1001000,1.1055000,1603153
EURUSD,D,20/03/22,000000,1.1057000,1.1058500,1.1039000,1.1041600,44347
EURUSD,D,21/03/22,000000,1.1042100,1.1070400,1.1009000,1.1015800,1449864
EURUSD,D,22/03/22,000000,1.1016300,1.1045800,1.0959000,1.1029100,1737496
EURUSD,D,23/03/22,000000,1.1029100,1.1040000,1.0962000,1.1005600,1546183
EURUSD,D,24/03/22,000000,1.1005600,1.1013900,1.0964000,1.1008300,1696913
EURUSD,D,25/03/22,000000,1.1008400,1.1037900,1.0978100,1.0982000,1728775
EURUSD,D,27/03/22,000000,1.0984000,1.0986900,1.0976000,1.0981100,50879
EURUSD,D,28/03/22,000000,1.0981400,1.0999600,1.0943000,1.0990400,1988555
EURUSD,D,29/03/22,000000,1.0991200,1.1137400,1.0968000,1.1091000,2426763
EURUSD,D,30/03/22,000000,1.1090700,1.1171100,1.1086000,1.1160000,2025823
EURUSD,D,31/03/22,000000,1.1161200,1.1184900,1.1059000,1.1072500,1982171
EURUSD,D,01/04/22,000000,1.1072700,1.1076000,1.1026000,1.1047000,1634586
EURUSD,D,03/04/22,000000,1.1047000,1.1047000,1.1031400,1.1045000,42818
EURUSD,D,04/04/22,000000,1.1045400,1.1054400,1.0959000,1.0974900,1372827
EURUSD,D,05/04/22,000000,1.0974600,1.0988700,1.0898000,1.0905700,1432094
EURUSD,D,06/04/22,000000,1.0905900,1.0938200,1.0873000,1.0896000,1791800
EURUSD,D,07/04/22,000000,1.0896000,1.0938600,1.0859000,1.0863900,1687757
EURUSD,D,08/04/22,000000,1.0863300,1.0891800,1.0835000,1.0875000,1385687
EURUSD,D,10/04/22,000000,1.0919500,1.0922400,1.0887000,1.0888500,45542
